tahun,bulan,tempat_wisata,jumlah
2018,3,Taman Margasatwa Ragunan,318348
2018,3,Monumen Nasional,152565
2018,3,Museum Nasional,25332
2018,3,Museum Satria Mandala,1301
2018,3,Museum Sejarah Jakarta,60626
2018,3,Museum Tekstil,3923
2018,3,Museum Bahari,1676
2018,3,Museum Seni Rupa dan Keramik,16306
2018,3,Museum Wayang,33803
2018,3,Museum Joang 45 dan Thamrin,1624
2018,3,Taman Arkeologi Onrust,7238
2018,3,Pelabuhan Sunda Kelapa,3215
2018,3,Kepulauan Seribu,60881
2018,3,PBB Setu babakan,29657
2018,3,Museum Prasasti,841
2018,3,Planetarium,22908
2018,3,Rumah si Pitung,2807
2019,3,Taman Impian Jaya Ancol,991778
2019,3,Taman Mini Indonesia Indah,405124
2019,3,Taman Margasatwa Ragunan,345016
2019,3,Monumen Nasional,159760
2019,3,Museum Nasional,29178
2019,3,Museum Satria Mandala,1679
2019,3,Museum Sejarah Jakarta,61791
2019,3,Museum Tekstil,3685
2019,3,Museum Bahari,2305
2019,3,Museum Seni Rupa dan Keramik,14486
2019,3,Museum Wayang,28035
2019,3,Museum Joang 45 dan Thamrin,1916
2019,3,Taman Arkeologi Onrust,2960
2019,3,Pelabuhan Sunda Kelapa,1025
2019,3,Kepulauan Seribu,36783
2019,3,PBB Setu babakan,38596
2019,3,Museum Prasasti,1082
2019,3,Planetarium,16350
2019,3,Rumah si Pitung,2887
2018,8,Taman Impian Jaya Ancol,1597859
2018,8,Taman Mini Indonesia Indah,498765
2018,8,Taman Margasatwa Ragunan,300345
2018,8,Monumen Nasional,137873
2018,8,Museum Nasional,9078
2018,8,Museum Satria Mandala,988
2018,8,Museum Sejarah Jakarta,46678
2018,8,Museum Tekstil,2808
2018,8,Museum Bahari,7911
2018,8,Museum Seni Rupa dan Keramik,10510
2018,8,Museum Wayang,23691
2018,8,Museum Joang 45 dan Thamrin,857
2018,8,Taman Arkeologi Onrust,5498
2018,8,Pelabuhan Sunda Kelapa,2671
2018,8,Kepulauan Seribu,40038
2018,8,PBB Setu babakan,20816
2018,8,Museum Prasasti,620
2018,8,Planetarium,11446
2018,8,Rumah si Pitung,4786
2019,6,Taman Impian Jaya Ancol,1351619
2019,6,Taman Mini Indonesia Indah,481788
2019,6,Taman Margasatwa Ragunan,1127494
2019,6,Monumen Nasional,1436125
2019,6,Museum Nasional,25321
2019,6,Museum Satria Mandala,1109
2019,6,Museum Sejarah Jakarta,125807
2019,6,Museum Tekstil,2209
2019,6,Museum Bahari,2292
2019,6,Museum Seni Rupa dan Keramik,42840
2019,6,Museum Wayang,61121
2019,6,Museum Joang 45 dan Thamrin,1750
2019,6,Taman Arkeologi Onrust,7986
2019,6,Pelabuhan Sunda Kelapa,1232
2019,6,Kepulauan Seribu,115541
2019,6,PBB Setu babakan,84999
2019,6,Museum Prasasti,842
2019,6,Planetarium,17288
2019,6,Rumah si Pitung,6738
2019,6,Kawasan Kotatua,1304879
2019,8,Taman Impian Jaya Ancol,610863
2019,8,Taman Mini Indonesia Indah,350143
2019,8,Taman Margasatwa Ragunan,215935
2019,8,Monumen Nasional (kawasan),1228515
2019,8,Museum Nasional,12546
2019,8,Museum Satria Mandala,801
2019,8,Museum Sejarah Jakarta,36090
2019,8,Museum Tekstil,2697
2019,8,Museum Bahari,1605
2019,8,Museum Seni Rupa dan Keramik,10986
2019,8,Museum Wayang,19107
2019,8,Museum Joang 45 dan Thamrin,1675
2019,8,Taman Arkeologi Onrust,4049
2019,8,Pelabuhan Sunda Kelapa,2354
2019,8,Kepulauan Seribu,31805
2019,8,PBB Setu babakan,37335
2019,8,Museum Prasasti,781
2019,8,Planetarium,9412
2019,8,Rumah si Pitung,1363
2019,8,Kawasan Kota Tua,398094
2019,2,Taman Impian Jaya Ancol,965432
2019,2,Taman Mini Indonesia Indah,350965
2019,2,Taman Margasatwa Ragunan,243216
2019,2,Monumen Nasional,142591
2019,2,Museum Nasional,17654
2019,2,Museum Satria Mandala,1187
2019,2,Museum Sejarah Jakarta,58012
2019,2,Museum Tekstil,2821
2019,2,Museum Bahari,3887
2019,2,Museum Seni Rupa dan Keramik,16545
2019,2,Museum Wayang,28858
2019,2,Museum Joang 45 dan Thamrin,1408
2019,2,Taman Arkeologi Onrust,973
2019,2,Pelabuhan Sunda Kelapa,2316
2019,2,Kepulauan Seribu,18237
2019,2,PBB Setu babakan,34883
2019,2,Museum Prasasti,631
2019,2,Planetarium,16104
2019,2,Rumah si Pitung,2335
2020,11,Taman Impian Jaya Ancol,126744
2020,11,Taman Mini Indonesia Indah,107810
2020,11,Taman Margasatwa Ragunan,21741
2020,11,Monumen Nasional,0
2020,11,Museum Nasional,1451
2020,11,Museum Satria Mandala,0
2020,11,Museum Sejarah Jakarta,5610
2020,11,Museum Tekstil,161
2020,11,Museum Bahari,729
2020,11,Museum Seni Rupa dan Keramik,1003
2020,11,Museum Wayang,2728
2020,11,Museum Joang,267
2020,11,Taman Arkeologi Onrust,4186
2020,11,Pelabuhan Sunda Kelapa,2752
2020,11,Kepulauan Seribu,18301
2020,11,PBB Setu babakan,17181
2020,11,Museum Prasasti,417
2020,11,Planetarium,0
2020,11,Rumah si Pitung,2316
2020,11,Kawasan Kota Tua,3354
2018,7,Taman Impian Jaya Ancol,1659321
2018,7,Taman Mini Indonesia Indah,554021
2018,7,Taman Margasatwa Ragunan,370124
2018,7,Monumen Nasional,186720
2018,7,Museum Nasional,14031
2018,7,Museum Satria Mandala,1437
2018,7,Museum Sejarah Jakarta,81946
2018,7,Museum Tekstil,2290
2018,7,Museum Bahari,11921
2018,7,Museum Seni Rupa dan Keramik,17794
2018,7,Museum Wayang,35458
2018,7,Museum Joang 45 dan Thamrin,869
2018,7,Taman Arkeologi Onrust,6431
2018,7,Pelabuhan Sunda Kelapa,3021
2018,7,Kepulauan Seribu,69530
2018,7,PBB Setu babakan,69090
2018,7,Museum Prasasti,725
2018,7,Planetarium,19723
2018,7,Rumah si Pitung,5503
2019,5,Taman Impian Jaya Ancol,978936
2019,5,Taman Mini Indonesia Indah,320134
2019,5,Taman Margasatwa Ragunan,204698
2019,5,Monumen Nasional,48679
2019,5,Museum Nasional,17546
2019,5,Museum Satria Mandala,746
2019,5,Museum Sejarah Jakarta,17734
2019,5,Museum Tekstil,1948
2019,5,Museum Bahari,1047
2019,5,Museum Seni Rupa dan Keramik,3046
2019,5,Museum Wayang,8358
2019,5,Museum Joang 45 dan Thamrin,953
2019,5,Taman Arkeologi Onrust,1928
2019,5,Pelabuhan Sunda Kelapa,954
2019,5,Kepulauan Seribu,15402
2019,5,PBB Setu babakan,10021
2019,5,Museum Prasasti,506
2019,5,Planetarium,2263
2019,5,Rumah si Pitung,1551
2020,9,Taman Impian Jaya Ancol,71688
2020,9,Taman Mini Indonesia Indah,36977
2020,9,Taman Margasatwa Ragunan,6109
2020,9,Monumen Nasional,0
2020,9,Museum Nasional,105
2020,9,Museum Satria Mandala,0
2020,9,Museum Sejarah Jakarta,769
2020,9,Museum Tekstil,80
2020,9,Museum Bahari,269
2020,9,Museum Seni Rupa dan Keramik,237
2020,9,Museum Wayang,422
2020,9,Museum Joang 45,113
