tahun,bulan,jumlah
2017,01,193788
2017,02,189438
2017,03,221620
2017,04,216704
2017,05,210595
2017,06,162333
2017,07,285733
2017,08,286365
2017,09,224855
2017,10,221062
2017,11,224079
2017,12,221483
