tahun,bulan,jumlah
2019,01,208618
2019,02,195961
2019,03,219500
2019,04,198209
2019,05,157367
2019,06,191550
2019,07,268258
2019,08,253176
2019,09,212912
2019,10,189416
2019,11,184521
2019,12,186810
