tahun,bulan,jumlah
2015,01,174525
2015,02,178124
2015,03,208180
2015,04,166819
2015,05,195175
2015,06,179499
2015,07,179825
2015,08,258916
2015,09,217994
2015,10,203444
2015,11,223093
2015,12,191632
