tahun,bulan,jumlah
2016,01,158888
2016,02,117533
2016,03,208788
2016,04,193740
2016,05,193208
2016,06,156326
2016,07,222135
2016,08,276260
2016,09,234887
2016,10,243007
2016,11,225298
2016,12,227935
