tahun,bulan,jumlah
2012,01,162368
2012,02,159598
2012,03,172126
2012,04,167553
2012,05,191494
2012,06,175391
2012,07,196695
2012,08,145241
2012,09,188578
2012,10,190762
2012,11,191703
2012,12,184004
