tahun,bulan,jumlah
2011,1,145179
2011,2,149645
2011,3,166393
2011,4,158042
2011,5,156624
2011,6,170864
2011,7,205861
2011,8,147999
2011,9,175329
2011,10,180813
2011,11,178832
2011,12,168363
