tahun,bulan,jumlah
2013,01,167392
2013,02,187429
2013,03,192108
2013,04,168986
2013,05,185485
2013,06,217309
2013,07,195073
2013,08,194204
2013,09,207723
2013,10,198066
2013,11,205468
2013,12,194549
