tahun,bulan,jumlah
2018,01,210983
2018,02,203418
2018,03,244612
2018,04,223968
2018,05,190336
2018,06,182943
2018,07,321631
2018,08,308447
2018,09,250180
2018,10,244913
2018,11,206905
2018,12,225076
