_id,bulan,wisnu,wisman,jumlah
1,Januari,25507,1269,26776
2,Februari,26439,831,27270
3,Maret,12143,1005,13148
4,April,1296,70,1366
5,Mei,1957,-,1958
6,Juni,7733,-,7733
7,Juli,10650,2,10652
8,Agustus,13733,-,13733
9,September,13117,2,13119
10,Oktober,13921,2,13923
11,November,14061,62,14123
12,Desember,25837,1,25838
